,DateTime_minute
185,2022-03-18 03:03:00
186,2022-03-18 03:04:00
187,2022-03-18 03:05:00
188,2022-03-18 03:06:00
189,2022-03-18 03:07:00
190,2022-03-18 03:08:00
191,2022-03-18 03:09:00
192,2022-03-18 03:10:00
193,2022-03-18 03:11:00
194,2022-03-18 03:12:00
195,2022-03-18 03:13:00
196,2022-03-18 03:14:00
197,2022-03-18 03:15:00
198,2022-03-18 03:16:00
199,2022-03-18 03:17:00
200,2022-03-18 03:18:00
201,2022-03-18 03:19:00
202,2022-03-18 03:20:00
203,2022-03-18 03:21:00
204,2022-03-18 03:22:00
205,2022-03-18 03:23:00
206,2022-03-18 03:24:00
207,2022-03-18 03:25:00
208,2022-03-18 03:26:00
209,2022-03-18 03:27:00
210,2022-03-18 03:28:00
211,2022-03-18 03:29:00
212,2022-03-18 03:30:00
213,2022-03-18 03:31:00
214,2022-03-18 03:32:00
215,2022-03-18 03:33:00
216,2022-03-18 03:34:00
217,2022-03-18 03:35:00
218,2022-03-18 03:36:00
219,2022-03-18 03:37:00
220,2022-03-18 03:38:00
221,2022-03-18 03:39:00
222,2022-03-18 03:40:00
223,2022-03-18 03:41:00
224,2022-03-18 03:42:00
225,2022-03-18 03:43:00
226,2022-03-18 03:44:00
227,2022-03-18 03:45:00
228,2022-03-18 03:46:00
229,2022-03-18 03:47:00
230,2022-03-18 03:48:00
231,2022-03-18 03:49:00
232,2022-03-18 03:50:00
233,2022-03-18 03:51:00
234,2022-03-18 03:52:00
235,2022-03-18 03:53:00
236,2022-03-18 03:54:00
237,2022-03-18 03:55:00
238,2022-03-18 03:56:00
239,2022-03-18 03:57:00
240,2022-03-18 03:58:00
241,2022-03-18 03:59:00
242,2022-03-18 04:00:00
243,2022-03-18 04:01:00
244,2022-03-18 04:02:00
245,2022-03-18 04:03:00
246,2022-03-18 04:04:00
247,2022-03-18 04:05:00
248,2022-03-18 04:06:00
249,2022-03-18 04:07:00
250,2022-03-18 04:08:00
251,2022-03-18 04:09:00
252,2022-03-18 04:10:00
253,2022-03-18 04:11:00
254,2022-03-18 04:12:00
255,2022-03-18 04:13:00
256,2022-03-18 04:14:00
257,2022-03-18 04:15:00
258,2022-03-18 04:16:00
259,2022-03-18 04:17:00
260,2022-03-18 04:18:00
261,2022-03-18 04:19:00
262,2022-03-18 04:20:00
263,2022-03-18 04:21:00
264,2022-03-18 04:22:00
265,2022-03-18 04:23:00
266,2022-03-18 04:24:00
267,2022-03-18 04:25:00
268,2022-03-18 04:26:00
269,2022-03-18 04:27:00
270,2022-03-18 04:28:00
271,2022-03-18 04:29:00
272,2022-03-18 04:30:00
273,2022-03-18 04:31:00
274,2022-03-18 04:32:00
275,2022-03-18 04:33:00
276,2022-03-18 04:34:00
277,2022-03-18 04:35:00
278,2022-03-18 04:36:00
279,2022-03-18 04:37:00
280,2022-03-18 04:38:00
281,2022-03-18 04:39:00
282,2022-03-18 04:40:00
283,2022-03-18 04:41:00
284,2022-03-18 04:42:00
285,2022-03-18 04:43:00
286,2022-03-18 04:44:00
287,2022-03-18 04:45:00
288,2022-03-18 04:46:00
289,2022-03-18 04:47:00
290,2022-03-18 04:48:00
291,2022-03-18 04:49:00
292,2022-03-18 04:50:00
293,2022-03-18 04:51:00
294,2022-03-18 04:52:00
295,2022-03-18 04:53:00
296,2022-03-18 04:54:00
297,2022-03-18 04:55:00
298,2022-03-18 04:56:00
299,2022-03-18 04:57:00
300,2022-03-18 04:58:00
301,2022-03-18 04:59:00
302,2022-03-18 05:00:00
303,2022-03-18 05:01:00
304,2022-03-18 05:02:00
305,2022-03-18 05:03:00
306,2022-03-18 05:04:00
307,2022-03-18 05:05:00
308,2022-03-18 05:06:00
309,2022-03-18 05:07:00
310,2022-03-18 05:08:00
311,2022-03-18 05:09:00
312,2022-03-18 05:10:00
313,2022-03-18 05:11:00
314,2022-03-18 05:12:00
315,2022-03-18 05:13:00
316,2022-03-18 05:14:00
317,2022-03-18 05:15:00
318,2022-03-18 05:16:00
319,2022-03-18 05:17:00
320,2022-03-18 05:18:00
321,2022-03-18 05:19:00
322,2022-03-18 05:20:00
323,2022-03-18 05:21:00
324,2022-03-18 05:22:00
325,2022-03-18 05:23:00
326,2022-03-18 05:24:00
327,2022-03-18 05:25:00
328,2022-03-18 05:26:00
329,2022-03-18 05:27:00
330,2022-03-18 05:28:00
331,2022-03-18 05:29:00
332,2022-03-18 05:30:00
333,2022-03-18 05:31:00
334,2022-03-18 05:32:00
335,2022-03-18 05:33:00
336,2022-03-18 05:34:00
337,2022-03-18 05:35:00
338,2022-03-18 05:36:00
339,2022-03-18 05:37:00
340,2022-03-18 05:38:00
341,2022-03-18 05:39:00
342,2022-03-18 05:40:00
343,2022-03-18 05:41:00
344,2022-03-18 05:42:00
345,2022-03-18 05:43:00
346,2022-03-18 05:44:00
347,2022-03-18 05:45:00
348,2022-03-18 05:46:00
349,2022-03-18 05:47:00
350,2022-03-18 05:48:00
351,2022-03-18 05:49:00
352,2022-03-18 05:50:00
353,2022-03-18 05:51:00
354,2022-03-18 05:52:00
355,2022-03-18 05:53:00
356,2022-03-18 05:54:00
357,2022-03-18 05:55:00
358,2022-03-18 05:56:00
359,2022-03-18 05:57:00
360,2022-03-18 05:58:00
361,2022-03-18 05:59:00
362,2022-03-18 06:00:00
363,2022-03-18 06:01:00
364,2022-03-18 06:02:00
365,2022-03-18 06:03:00
366,2022-03-18 06:04:00
367,2022-03-18 06:05:00
368,2022-03-18 06:06:00
369,2022-03-18 06:07:00
370,2022-03-18 06:08:00
371,2022-03-18 06:09:00
372,2022-03-18 06:10:00
373,2022-03-18 06:11:00
374,2022-03-18 06:12:00
375,2022-03-18 06:13:00
376,2022-03-18 06:14:00
377,2022-03-18 06:15:00
378,2022-03-18 06:16:00
379,2022-03-18 06:17:00
380,2022-03-18 06:18:00
381,2022-03-18 06:19:00
382,2022-03-18 06:20:00
383,2022-03-18 06:21:00
384,2022-03-18 06:22:00
385,2022-03-18 06:23:00
386,2022-03-18 06:24:00
387,2022-03-18 06:25:00
388,2022-03-18 06:26:00
389,2022-03-18 06:27:00
390,2022-03-18 06:28:00
391,2022-03-18 06:29:00
392,2022-03-18 06:30:00
393,2022-03-18 06:31:00
394,2022-03-18 06:32:00
395,2022-03-18 06:33:00
396,2022-03-18 06:34:00
397,2022-03-18 06:35:00
398,2022-03-18 06:36:00
399,2022-03-18 06:37:00
400,2022-03-18 06:38:00
401,2022-03-18 06:39:00
402,2022-03-18 06:40:00
403,2022-03-18 06:41:00
404,2022-03-18 06:42:00
405,2022-03-18 06:43:00
406,2022-03-18 06:44:00
407,2022-03-18 06:45:00
408,2022-03-18 06:46:00
409,2022-03-18 06:47:00
410,2022-03-18 06:48:00
411,2022-03-18 06:49:00
412,2022-03-18 06:50:00
413,2022-03-18 06:51:00
414,2022-03-18 06:52:00
415,2022-03-18 06:53:00
416,2022-03-18 06:54:00
417,2022-03-18 06:55:00
418,2022-03-18 06:56:00
419,2022-03-18 06:57:00
420,2022-03-18 06:58:00
421,2022-03-18 06:59:00
422,2022-03-18 07:00:00
423,2022-03-18 07:01:00
424,2022-03-18 07:02:00
425,2022-03-18 07:03:00
426,2022-03-18 07:04:00
427,2022-03-18 07:05:00
428,2022-03-18 07:06:00
429,2022-03-18 07:07:00
430,2022-03-18 07:08:00
431,2022-03-18 07:09:00
432,2022-03-18 07:10:00
433,2022-03-18 07:11:00
434,2022-03-18 07:12:00
435,2022-03-18 07:13:00
436,2022-03-18 07:14:00
437,2022-03-18 07:15:00
438,2022-03-18 07:16:00
439,2022-03-18 07:17:00
440,2022-03-18 07:18:00
441,2022-03-18 07:19:00
442,2022-03-18 07:20:00
443,2022-03-18 07:21:00
444,2022-03-18 07:22:00
445,2022-03-18 07:23:00
446,2022-03-18 07:24:00
447,2022-03-18 07:25:00
448,2022-03-18 07:26:00
449,2022-03-18 07:27:00
450,2022-03-18 07:28:00
451,2022-03-18 07:29:00
452,2022-03-18 07:30:00
453,2022-03-18 07:31:00
454,2022-03-18 07:32:00
455,2022-03-18 07:33:00
456,2022-03-18 07:34:00
457,2022-03-18 07:35:00
458,2022-03-18 07:36:00
459,2022-03-18 07:37:00
460,2022-03-18 07:38:00
461,2022-03-18 07:39:00
462,2022-03-18 07:40:00
463,2022-03-18 07:41:00
464,2022-03-18 07:42:00
465,2022-03-18 07:43:00
466,2022-03-18 07:44:00
467,2022-03-18 07:45:00
468,2022-03-18 07:46:00
469,2022-03-18 07:47:00
470,2022-03-18 07:48:00
471,2022-03-18 07:49:00
472,2022-03-18 07:50:00
473,2022-03-18 07:51:00
474,2022-03-18 07:52:00
475,2022-03-18 07:53:00
476,2022-03-18 07:54:00
477,2022-03-18 07:55:00
478,2022-03-18 07:56:00
479,2022-03-18 07:57:00
480,2022-03-18 07:58:00
481,2022-03-18 07:59:00
482,2022-03-18 08:00:00
483,2022-03-18 08:01:00
484,2022-03-18 08:02:00
485,2022-03-18 08:03:00
486,2022-03-18 08:04:00
487,2022-03-18 08:05:00
488,2022-03-18 08:06:00
489,2022-03-18 08:07:00
490,2022-03-18 08:08:00
491,2022-03-18 08:09:00
492,2022-03-18 08:10:00
493,2022-03-18 08:11:00
494,2022-03-18 08:12:00
495,2022-03-18 08:13:00
496,2022-03-18 08:14:00
497,2022-03-18 08:15:00
498,2022-03-18 08:16:00
499,2022-03-18 08:17:00
500,2022-03-18 08:18:00
501,2022-03-18 08:19:00
502,2022-03-18 08:20:00
503,2022-03-18 08:21:00
504,2022-03-18 08:22:00
505,2022-03-18 08:23:00
506,2022-03-18 08:24:00
507,2022-03-18 08:25:00
508,2022-03-18 08:26:00
509,2022-03-18 08:27:00
510,2022-03-18 08:28:00
511,2022-03-18 08:29:00
512,2022-03-18 08:30:00
513,2022-03-18 08:31:00
514,2022-03-18 08:32:00
515,2022-03-18 08:33:00
516,2022-03-18 08:34:00
517,2022-03-18 08:35:00
518,2022-03-18 08:36:00
519,2022-03-18 08:37:00
520,2022-03-18 08:38:00
521,2022-03-18 08:39:00
522,2022-03-18 08:40:00
523,2022-03-18 08:41:00
524,2022-03-18 08:42:00
525,2022-03-18 08:43:00
526,2022-03-18 08:44:00
527,2022-03-18 08:45:00
528,2022-03-18 08:46:00
529,2022-03-18 08:47:00
530,2022-03-18 08:48:00
531,2022-03-18 08:49:00
532,2022-03-18 08:50:00
533,2022-03-18 08:51:00
534,2022-03-18 08:52:00
535,2022-03-18 08:53:00
536,2022-03-18 08:54:00
537,2022-03-18 08:55:00
538,2022-03-18 08:56:00
539,2022-03-18 08:57:00
540,2022-03-18 08:58:00
541,2022-03-18 08:59:00
542,2022-03-18 09:00:00
543,2022-03-18 09:01:00
544,2022-03-18 09:02:00
545,2022-03-18 09:03:00
546,2022-03-18 09:04:00
547,2022-03-18 09:05:00
548,2022-03-18 09:06:00
549,2022-03-18 09:07:00
550,2022-03-18 09:08:00
551,2022-03-18 09:09:00
552,2022-03-18 09:10:00
553,2022-03-18 09:11:00
554,2022-03-18 09:12:00
555,2022-03-18 09:13:00
556,2022-03-18 09:14:00
557,2022-03-18 09:15:00
558,2022-03-18 09:16:00
559,2022-03-18 09:17:00
560,2022-03-18 09:18:00
561,2022-03-18 09:19:00
562,2022-03-18 09:20:00
563,2022-03-18 09:21:00
564,2022-03-18 09:22:00
565,2022-03-18 09:23:00
566,2022-03-18 09:24:00
567,2022-03-18 09:25:00
568,2022-03-18 09:26:00
569,2022-03-18 09:27:00
570,2022-03-18 09:28:00
571,2022-03-18 09:29:00
572,2022-03-18 09:30:00
573,2022-03-18 09:31:00
574,2022-03-18 09:32:00
575,2022-03-18 09:33:00
576,2022-03-18 09:34:00
577,2022-03-18 09:35:00
578,2022-03-18 09:36:00
579,2022-03-18 09:37:00
580,2022-03-18 09:38:00
581,2022-03-18 09:39:00
582,2022-03-18 09:40:00
583,2022-03-18 09:41:00
584,2022-03-18 09:42:00
585,2022-03-18 09:43:00
586,2022-03-18 09:44:00
587,2022-03-18 09:45:00
588,2022-03-18 09:46:00
589,2022-03-18 09:47:00
590,2022-03-18 09:48:00
591,2022-03-18 09:49:00
592,2022-03-18 09:50:00
593,2022-03-18 09:51:00
594,2022-03-18 09:52:00
595,2022-03-18 09:53:00
596,2022-03-18 09:54:00
597,2022-03-18 09:55:00
598,2022-03-18 09:56:00
599,2022-03-18 09:57:00
600,2022-03-18 09:58:00
601,2022-03-18 09:59:00
602,2022-03-18 10:00:00
603,2022-03-18 10:01:00
604,2022-03-18 10:02:00
605,2022-03-18 10:03:00
606,2022-03-18 10:04:00
607,2022-03-18 10:05:00
608,2022-03-18 10:06:00
609,2022-03-18 10:07:00
610,2022-03-18 10:08:00
611,2022-03-18 10:09:00
612,2022-03-18 10:10:00
613,2022-03-18 10:11:00
614,2022-03-18 10:12:00
615,2022-03-18 10:13:00
616,2022-03-18 10:14:00
617,2022-03-18 10:15:00
618,2022-03-18 10:16:00
619,2022-03-18 10:17:00
620,2022-03-18 10:18:00
621,2022-03-18 10:19:00
622,2022-03-18 10:20:00
623,2022-03-18 10:21:00
624,2022-03-18 10:22:00
625,2022-03-18 10:23:00
626,2022-03-18 10:24:00
627,2022-03-18 10:25:00
628,2022-03-18 10:26:00
629,2022-03-18 10:27:00
630,2022-03-18 10:28:00
631,2022-03-18 10:29:00
632,2022-03-18 10:30:00
633,2022-03-18 10:31:00
634,2022-03-18 10:32:00
635,2022-03-18 10:33:00
636,2022-03-18 10:34:00
637,2022-03-18 10:35:00
638,2022-03-18 10:36:00
639,2022-03-18 10:37:00
640,2022-03-18 10:38:00
641,2022-03-18 10:39:00
642,2022-03-18 10:40:00
643,2022-03-18 10:41:00
644,2022-03-18 10:42:00
645,2022-03-18 10:43:00
646,2022-03-18 10:44:00
647,2022-03-18 10:45:00
648,2022-03-18 10:46:00
649,2022-03-18 10:47:00
650,2022-03-18 10:48:00
651,2022-03-18 10:49:00
652,2022-03-18 10:50:00
653,2022-03-18 10:51:00
654,2022-03-18 10:52:00
655,2022-03-18 10:53:00
656,2022-03-18 10:54:00
657,2022-03-18 10:55:00
658,2022-03-18 10:56:00
659,2022-03-18 10:57:00
660,2022-03-18 10:58:00
661,2022-03-18 10:59:00
662,2022-03-18 11:00:00
663,2022-03-18 11:01:00
664,2022-03-18 11:02:00
665,2022-03-18 11:03:00
666,2022-03-18 11:04:00
667,2022-03-18 11:05:00
668,2022-03-18 11:06:00
669,2022-03-18 11:07:00
670,2022-03-18 11:08:00
671,2022-03-18 11:09:00
672,2022-03-18 11:10:00
673,2022-03-18 11:11:00
674,2022-03-18 11:12:00
675,2022-03-18 11:13:00
676,2022-03-18 11:14:00
677,2022-03-18 11:15:00
678,2022-03-18 11:16:00
679,2022-03-18 11:17:00
680,2022-03-18 11:18:00
681,2022-03-18 11:19:00
682,2022-03-18 11:20:00
683,2022-03-18 11:21:00
684,2022-03-18 11:22:00
685,2022-03-18 11:23:00
686,2022-03-18 11:24:00
687,2022-03-18 11:25:00
688,2022-03-18 11:26:00
689,2022-03-18 11:27:00
690,2022-03-18 11:28:00
691,2022-03-18 11:29:00
692,2022-03-18 11:30:00
693,2022-03-18 11:31:00
694,2022-03-18 11:32:00
695,2022-03-18 11:33:00
696,2022-03-18 11:34:00
697,2022-03-18 11:35:00
698,2022-03-18 11:36:00
699,2022-03-18 11:37:00
700,2022-03-18 11:38:00
701,2022-03-18 11:39:00
702,2022-03-18 11:40:00
703,2022-03-18 11:41:00
704,2022-03-18 11:42:00
705,2022-03-18 11:43:00
706,2022-03-18 11:44:00
707,2022-03-18 11:45:00
708,2022-03-18 11:46:00
709,2022-03-18 11:47:00
710,2022-03-18 11:48:00
711,2022-03-18 11:49:00
712,2022-03-18 11:50:00
713,2022-03-18 11:51:00
714,2022-03-18 11:52:00
715,2022-03-18 11:53:00
716,2022-03-18 11:54:00
717,2022-03-18 11:55:00
718,2022-03-18 11:56:00
719,2022-03-18 11:57:00
720,2022-03-18 11:58:00
721,2022-03-18 11:59:00
722,2022-03-18 12:00:00
723,2022-03-18 12:01:00
724,2022-03-18 12:02:00
725,2022-03-18 12:03:00
726,2022-03-18 12:04:00
727,2022-03-18 12:05:00
728,2022-03-18 12:06:00
729,2022-03-18 12:07:00
730,2022-03-18 12:08:00
731,2022-03-18 12:09:00
732,2022-03-18 12:10:00
733,2022-03-18 12:11:00
734,2022-03-18 12:12:00
735,2022-03-18 12:13:00
736,2022-03-18 12:14:00
737,2022-03-18 12:15:00
738,2022-03-18 12:16:00
739,2022-03-18 12:17:00
740,2022-03-18 12:18:00
741,2022-03-18 12:19:00
742,2022-03-18 12:20:00
743,2022-03-18 12:21:00
744,2022-03-18 12:22:00
745,2022-03-18 12:23:00
746,2022-03-18 12:24:00
747,2022-03-18 12:25:00
748,2022-03-18 12:26:00
749,2022-03-18 12:27:00
750,2022-03-18 12:28:00
751,2022-03-18 12:29:00
752,2022-03-18 12:30:00
753,2022-03-18 12:31:00
754,2022-03-18 12:32:00
755,2022-03-18 12:33:00
756,2022-03-18 12:34:00
757,2022-03-18 12:35:00
758,2022-03-18 12:36:00
759,2022-03-18 12:37:00
760,2022-03-18 12:38:00
761,2022-03-18 12:39:00
762,2022-03-18 12:40:00
763,2022-03-18 12:41:00
764,2022-03-18 12:42:00
765,2022-03-18 12:43:00
766,2022-03-18 12:44:00
767,2022-03-18 12:45:00
768,2022-03-18 12:46:00
769,2022-03-18 12:47:00
770,2022-03-18 12:48:00
771,2022-03-18 12:49:00
772,2022-03-18 12:50:00
773,2022-03-18 12:51:00
774,2022-03-18 12:52:00
775,2022-03-18 12:53:00
776,2022-03-18 12:54:00
777,2022-03-18 12:55:00
778,2022-03-18 12:56:00
779,2022-03-18 12:57:00
780,2022-03-18 12:58:00
781,2022-03-18 12:59:00
782,2022-03-18 13:00:00
783,2022-03-18 13:01:00
784,2022-03-18 13:02:00
785,2022-03-18 13:03:00
786,2022-03-18 13:04:00
787,2022-03-18 13:05:00
788,2022-03-18 13:06:00
789,2022-03-18 13:07:00
790,2022-03-18 13:08:00
791,2022-03-18 13:09:00
792,2022-03-18 13:10:00
793,2022-03-18 13:11:00
794,2022-03-18 13:12:00
795,2022-03-18 13:13:00
796,2022-03-18 13:14:00
797,2022-03-18 13:15:00
798,2022-03-18 13:16:00
799,2022-03-18 13:17:00
800,2022-03-18 13:18:00
801,2022-03-18 13:19:00
802,2022-03-18 13:20:00
803,2022-03-18 13:21:00
804,2022-03-18 13:22:00
805,2022-03-18 13:23:00
806,2022-03-18 13:24:00
807,2022-03-18 13:25:00
808,2022-03-18 13:26:00
809,2022-03-18 13:27:00
810,2022-03-18 13:28:00
811,2022-03-18 13:29:00
812,2022-03-18 13:30:00
813,2022-03-18 13:31:00
814,2022-03-18 13:32:00
815,2022-03-18 13:33:00
816,2022-03-18 13:34:00
817,2022-03-18 13:35:00
818,2022-03-18 13:36:00
819,2022-03-18 13:37:00
820,2022-03-18 13:38:00
821,2022-03-18 13:39:00
822,2022-03-18 13:40:00
823,2022-03-18 13:41:00
824,2022-03-18 13:42:00
825,2022-03-18 13:43:00
826,2022-03-18 13:44:00
827,2022-03-18 13:45:00
828,2022-03-18 13:46:00
829,2022-03-18 13:47:00
830,2022-03-18 13:48:00
831,2022-03-18 13:49:00
832,2022-03-18 13:50:00
833,2022-03-18 13:51:00
834,2022-03-18 13:52:00
835,2022-03-18 13:53:00
836,2022-03-18 13:54:00
837,2022-03-18 13:55:00
838,2022-03-18 13:56:00
839,2022-03-18 13:57:00
840,2022-03-18 13:58:00
841,2022-03-18 13:59:00
842,2022-03-18 14:00:00
843,2022-03-18 14:01:00
844,2022-03-18 14:02:00
845,2022-03-18 14:03:00
846,2022-03-18 14:04:00
847,2022-03-18 14:05:00
848,2022-03-18 14:06:00
849,2022-03-18 14:07:00
850,2022-03-18 14:08:00
851,2022-03-18 14:09:00
852,2022-03-18 14:10:00
853,2022-03-18 14:11:00
854,2022-03-18 14:12:00
855,2022-03-18 14:13:00
856,2022-03-18 14:14:00
857,2022-03-18 14:15:00
858,2022-03-18 14:16:00
859,2022-03-18 14:17:00
860,2022-03-18 14:18:00
861,2022-03-18 14:19:00
862,2022-03-18 14:20:00
863,2022-03-18 14:21:00
864,2022-03-18 14:22:00
865,2022-03-18 14:23:00
866,2022-03-18 14:24:00
867,2022-03-18 14:25:00
868,2022-03-18 14:26:00
869,2022-03-18 14:27:00
870,2022-03-18 14:28:00
871,2022-03-18 14:29:00
872,2022-03-18 14:30:00
873,2022-03-18 14:31:00
874,2022-03-18 14:32:00
875,2022-03-18 14:33:00
876,2022-03-18 14:34:00
877,2022-03-18 14:35:00
878,2022-03-18 14:36:00
879,2022-03-18 14:37:00
880,2022-03-18 14:38:00
881,2022-03-18 14:39:00
882,2022-03-18 14:40:00
883,2022-03-18 14:41:00
884,2022-03-18 14:42:00
885,2022-03-18 14:43:00
886,2022-03-18 14:44:00
887,2022-03-18 14:45:00
888,2022-03-18 14:46:00
889,2022-03-18 14:47:00
890,2022-03-18 14:48:00
891,2022-03-18 14:49:00
892,2022-03-18 14:50:00
893,2022-03-18 14:51:00
894,2022-03-18 14:52:00
895,2022-03-18 14:53:00
896,2022-03-18 14:54:00
897,2022-03-18 14:55:00
898,2022-03-18 14:56:00
899,2022-03-18 14:57:00
900,2022-03-18 14:58:00
901,2022-03-18 14:59:00
902,2022-03-18 15:00:00
903,2022-03-18 15:01:00
904,2022-03-18 15:02:00
905,2022-03-18 15:03:00
906,2022-03-18 15:04:00
907,2022-03-18 15:05:00
908,2022-03-18 15:06:00
909,2022-03-18 15:07:00
910,2022-03-18 15:08:00
911,2022-03-18 15:09:00
912,2022-03-18 15:10:00
913,2022-03-18 15:11:00
914,2022-03-18 15:12:00
915,2022-03-18 15:13:00
916,2022-03-18 15:14:00
917,2022-03-18 15:15:00
918,2022-03-18 15:16:00
919,2022-03-18 15:17:00
920,2022-03-18 15:18:00
921,2022-03-18 15:19:00
922,2022-03-18 15:20:00
923,2022-03-18 15:21:00
924,2022-03-18 15:22:00
925,2022-03-18 15:23:00
926,2022-03-18 15:24:00
927,2022-03-18 15:25:00
928,2022-03-18 15:26:00
929,2022-03-18 15:27:00
930,2022-03-18 15:28:00
931,2022-03-18 15:29:00
